FID,ID,x,y,z,d,txt
0,14,16.206770546700000,111.579196154000000,-7.833199000000000,99.526514141700005,all
1,15,16.206770552900000,111.579196151999990,-7.613541000000000,99.526514141700005,all
2,28,16.206655290099999,111.579184634000000,-7.248278000000000,99.252020313000003,all
3,32,16.206616867200001,111.579180812999990,-7.303768600000000,99.160522370099997,all
4,33,16.206616866400001,111.579180812999990,-7.335065000000000,99.160522370099997,all
5,34,16.206610497500002,111.579180163000000,-5.912378000000000,99.145166071999995,all
6,35,16.206604059699998,111.579179541000000,-7.373709700000000,99.130023055799995,all
7,44,16.206456848799998,111.579164934000000,-5.219075700000000,98.779174300400001,all
8,48,16.206424889499999,111.579161752000000,-3.089653300000000,98.703032655599998,all
9,49,16.206418480300002,111.579161122000000,-3.354512200000000,98.687889639399998,all
10,55,16.206328839299999,111.579152288000000,-4.216905000000000,98.474181157399997,all
11,66,16.206181632100002,111.579137774000000,-4.081333000000000,98.123545683900005,all
12,68,16.206149631500001,111.579134618000000,-4.134823300000000,98.047404039100002,all
13,75,16.206104832400001,111.579130199000010,-4.273553000000000,97.940549798099994,all
14,82,16.206008872900000,111.579120704999990,-3.298139600000000,97.712124863800000,all
15,89,16.205842546000000,111.579104192000000,-2.452616500000000,97.315847059800006,all
16,94,16.205804147399999,111.579100374000010,-3.035928700000000,97.224349116900001,all
17,107,16.205625032499999,111.579082437000000,-3.269118300000000,96.797571998600006,all
18,112,16.205593060700000,111.579079212000000,-2.831079200000000,96.721430353900004,all
19,114,16.205567468100000,111.579076634000000,-3.137514600000000,96.660431725300000,all
20,120,16.205516288999998,111.579071463000010,-3.494739500000000,96.538434468099993,all
21,123,16.205471502799998,111.579067049000000,-3.621590100000000,96.431793509000002,all
22,124,16.205439528300001,111.579063749000000,-3.584869000000000,96.355651864199999,all
23,125,16.205426758200002,111.579062420000000,-2.779567500000000,96.325152549899997,all
24,127,16.205426758400002,111.579062420000000,-2.772889000000000,96.325152549899997,all
25,134,16.205337233400002,111.579053145000000,-2.697762000000000,96.111870631700000,all
26,138,16.205292465700001,111.579048493000000,-2.826246700000000,96.005016390700007,all
27,141,16.205247705900000,111.579043828000000,-2.614747800000000,95.898375431600002,all
28,143,16.205222111800001,111.579041166000000,-3.254044300000000,95.837376802999998,all
29,152,16.205158179400001,111.579034476000000,-2.556105900000000,95.685093513499993,all
30,155,16.205145396599999,111.579033135000000,-2.278618800000000,95.654594199200005,all
31,157,16.205087832499999,111.579027108000010,-2.565325000000000,95.517453925799998,all
32,158,16.205055861300000,111.579023750999990,-2.318568700000000,95.441098999100006,all
33,159,16.205036676100001,111.579021737000010,-2.306719500000000,95.395456668600005,all
34,166,16.204998304000000,111.579017706000000,-2.240915300000000,95.303958725699999,all
35,168,16.204979124200001,111.579015686999990,-2.008071200000000,95.258316395199998,all
36,170,16.204959931600001,111.579013672000000,-2.268417600000000,95.212460782799994,all
37,175,16.204908758300000,111.579008292000000,-2.492065200000000,95.090463525600001,all
38,176,16.204902356900000,111.579007621000000,-2.715876000000000,95.075320509400001,all
39,178,16.204857581100001,111.579002909000000,-2.790583400000000,94.968466268399993,all
40,181,16.204832001100002,111.579000213000000,-2.536397200000000,94.907467639800004,all
41,183,16.204812751199999,111.578998216000000,-5.041903500000000,94.861612027400000,all
42,192,16.204697585600002,111.578986103000010,-5.988762400000000,94.587118198699997,all
43,194,16.204697581300000,111.578986103999990,-6.169090700000000,94.587118198699997,all
44,195,16.204684792900000,111.578984754999990,-5.891427000000000,94.556618884399995,all
45,197,16.204665580299999,111.578982743000000,-6.686716600000000,94.510763272000005,all
46,199,16.204627194899999,111.578978703999990,-6.665887400000000,94.419265329100000,all
47,202,16.204595247099999,111.578975324000000,-4.862526400000000,94.343123684299997,all
48,210,16.204505669300001,111.578965916000000,-4.914010000000000,94.129628484199998,all
49,212,16.204486506100000,111.578963888999990,-3.490489200000000,94.083986153699996,all
50,213,16.204486468100001,111.578963904000010,-5.100601000000000,94.083986153699996,all
51,222,16.204390522000001,111.578953833000000,-3.295501000000000,93.855134655499995,all
52,227,16.204345725500001,111.578949150000000,-3.175284600000000,93.748493696500006,all
53,229,16.204320128399999,111.578946477000000,-3.147957600000000,93.687495067900002,all
54,230,16.204320121599999,111.578946479000000,-3.391737500000000,93.687495067900002,all
55,232,16.204307321200002,111.578945144000000,-3.341125200000000,93.656995753600000,all
56,233,16.204300927799999,111.578944474000000,-3.130236900000000,93.641639455399996,all
57,237,16.204262536500000,111.578940468000000,-2.624603000000000,93.550141512600007,all
58,245,16.204236917199999,111.578937810000000,-3.313422200000000,93.489142884000003,all
59,246,16.204198578900002,111.578933715999990,-1.992134900000000,93.397644941099998,all
60,250,16.204179333399999,111.578931755000000,-3.361291400000000,93.351789328699994,all
61,253,16.204147317800000,111.578928468000000,-3.274020700000000,93.275647683900004,all
62,267,16.203935985000001,111.578906879000000,-2.801938000000000,92.771875793099994,all
63,270,16.203916777100002,111.578904922000010,-2.531496000000000,92.726233462699994,all
64,274,16.203859142900001,111.578899066000010,-2.232633000000000,92.588879907399999,all
65,276,16.203814287899998,111.578894531000000,-3.188639200000000,92.482025666300004,all
66,278,16.203807917799999,111.578893867999990,-1.719111900000000,92.466882650200006,all
67,280,16.203763059200000,111.578889340999990,-2.814799500000000,92.359815127199994,all
68,283,16.203756662499998,111.578888691000000,-2.518086700000000,92.344672110999994,all
69,284,16.203750254199999,111.578888045000000,-2.675248000000000,92.329315812900006,all
70,287,16.203731021900001,111.578886109000000,-3.384424400000000,92.283673482400005,all
71,290,16.203679768800001,111.578880944000010,-4.252885000000000,92.161462943299995,all
72,294,16.203654186300000,111.578878346000000,-2.828161500000000,92.100464314700005,all
73,295,16.203628545699999,111.578875772999990,-3.804486500000000,92.039465686100002,all
74,302,16.203564471300002,111.578869338000000,-5.362170000000000,91.886755832700004,all
75,308,16.203487642700001,111.578861604000000,-4.896178700000000,91.703759946900007,all
76,321,16.203327592299999,111.578845527000000,-4.689753500000000,91.322411877199997,all
77,322,16.203327666400000,111.578845498000010,-1.592871700000000,91.322625159200001,all
78,326,16.203276380300000,111.578840389000010,-4.784212600000000,91.200414620000004,all
79,331,16.203231646199999,111.578835867000000,-1.961563200000000,91.093773661000000,all
80,334,16.203212467899998,111.578833931000010,-1.004900900000000,91.048131330499999,all
81,337,16.203180442499999,111.578830731000000,-2.096260300000000,90.971776403800007,all
82,341,16.203129271100000,111.578825584000000,-1.122827200000000,90.849779146600000,all
83,343,16.203090834800001,111.578821748000000,-2.970466900000000,90.758281203699994,all
84,344,16.203084467800000,111.578821093000000,-1.632962200000000,90.743138187499994,all
85,345,16.203071648100000,111.578819817000000,-2.608441000000000,90.712638873200007,all
86,353,16.203014027700000,111.578814050999990,-4.321771600000000,90.575285317899997,all
87,357,16.202956442400001,111.578808270000000,-4.863709000000000,90.438145044500004,all
88,360,16.202924448200001,111.578805073000000,-4.004636000000000,90.361790117799998,all
89,362,16.202905259600001,111.578803140999990,-4.342252000000000,90.316147787299997,all
90,363,16.202898846699998,111.578802503000010,-5.157365300000000,90.300791489199995,all
91,366,16.202866928500001,111.578799256000000,-3.131376700000000,90.224863126299994,all
92,370,16.202841366299999,111.578796669000000,-2.719270000000000,90.163864497700004,all
93,372,16.202828549500001,111.578795390000000,-4.086511600000000,90.133365183400002,all
94,374,16.202809428599998,111.578793430000000,-1.765301500000000,90.087722852900001,all
95,385,16.202687986299999,111.578781140000000,-1.850350300000000,89.798512571900005,all
96,388,16.202681574700001,111.578780501000000,-2.771446000000000,89.783156273800003,all
97,401,16.202585726399999,111.578770776000000,-2.626101000000000,89.554731339400007,all
98,405,16.202534632300001,111.578765574000000,-1.744247800000000,89.432947364200004,all
99,407,16.202515451800000,111.578763630000000,-2.295237500000000,89.387305033700002,all
100,408,16.202509105600001,111.578762963000000,-0.477464500000000,89.372162017500003,all
101,410,16.202489910200001,111.578761025000010,-1.694021900000000,89.326519687000001,all
102,416,16.202438824800002,111.578755810999990,-0.683473300000000,89.204735711699996,all
103,420,16.202426039900001,111.578754512000000,-1.025860500000000,89.174236397399994,all
104,423,16.202413270899999,111.578753207000010,-0.741416040000000,89.143737083100007,all
105,426,16.202387723899999,111.578750600000010,-0.577881400000000,89.082951736400005,all
106,430,16.202355781500000,111.578747342000000,-0.676513100000000,89.006810091600002,all
107,431,16.202355785500000,111.578747340000010,-0.506779800000000,89.006810091600002,all
108,432,16.202330235100000,111.578744731000000,-0.463811130000000,88.946024745000003,all
109,434,16.202317456599999,111.578743427000010,-0.631004040000000,88.915525430700001,all
110,436,16.202304685000001,111.578742121000000,-0.473682370000000,88.885026116399999,all
111,438,16.202291915100002,111.578740812000010,-0.205480780000000,88.854526802099997,all
112,440,16.202259977000001,111.578737547000000,-0.263163570000000,88.778598439199996,all
113,446,16.202202483899999,111.578731664000000,-0.543528400000000,88.641458165800003,all
114,447,16.202189698600002,111.578730361000000,-1.123713400000000,88.610958851500001,all
115,452,16.202170545500000,111.578728394000000,-0.756463170000000,88.565316521000000,all
116,453,16.202170544800001,111.578728394000000,-0.782532330000000,88.565316521000000,all
117,457,16.202132220700001,111.578724464000000,-0.821086050000000,88.474031860099998,all
118,460,16.202113053600002,111.578722500000000,-1.058459600000000,88.428389529599997,all
119,463,16.202030016900000,111.578713972000000,-1.243792000000000,88.230463909500003,all
120,467,16.202017245099999,111.578712658000000,-1.134115000000000,88.199964595200001,all
121,471,16.201972527500001,111.578708061000000,-1.542952000000000,88.093536917999998,all
122,474,16.201946970500000,111.578705434000000,-1.864914300000000,88.032538289399994,all
123,475,16.201940582300001,111.578704775000010,-1.858970400000000,88.017395273199995,all
124,476,16.201934201899999,111.578704114999990,-1.603560300000000,88.002252257099997,all
125,479,16.201895863200001,111.578700170999990,-2.190547700000000,87.910754314200005,all
126,480,16.201889508299999,111.578699500000000,-0.804086150000000,87.895611298000006,all
127,482,16.201883087700001,111.578698854000000,-2.201186000000000,87.880254999900004,all
128,484,16.201851147300001,111.578695561000000,-2.283923600000000,87.804326637000003,all
129,487,16.201831979000001,111.578693586000000,-2.534962200000000,87.758471024599999,all
130,488,16.201831985300000,111.578693583000000,-2.265525000000000,87.758471024599999,all
131,489,16.201831988500000,111.578693582000000,-2.128522000000000,87.758471024599999,all
132,490,16.201812810900002,111.578691609000000,-2.679800500000000,87.712828694099997,all
133,491,16.201806426200001,111.578690948000000,-2.539352200000000,87.697685677899997,all
134,492,16.201800042100000,111.578690287000000,-2.414845500000000,87.682329379799995,all
135,495,16.201780852199999,111.578688317000000,-3.458974100000000,87.636687049299994,all
136,496,16.201780861800000,111.578688314000000,-3.096401700000000,87.636687049299994,all
137,498,16.201768092300000,111.578686991000000,-2.802835500000000,87.606187735000006,all
138,501,16.201761696700000,111.578686335000000,-3.194565000000000,87.591044718800006,all
139,502,16.201755313500001,111.578685673000000,-2.980874800000000,87.575901702600007,all
140,504,16.201748962700002,111.578684998000000,-1.385030200000000,87.560758686400007,all
141,507,16.201716982099999,111.578681711000000,-3.010028000000000,87.484403759700001,all
142,509,16.201697823500002,111.578679726000000,-2.736001500000000,87.438761429199999,all
143,514,16.201633939200001,111.578673138000000,-2.588193700000000,87.286478139699994,all
144,516,16.201627533500002,111.578672481000000,-3.276709000000000,87.271335123499995,all
145,517,16.201614773799999,111.578671146999990,-2.492642600000000,87.240835809199993,all
146,521,16.201589210200002,111.578668494000000,-2.650919200000000,87.180050462500006,all
147,524,16.201557257800001,111.578665176000000,-2.794180900000000,87.103908817700002,all
148,527,16.201538092500002,111.578663182000000,-2.641039400000000,87.058053205299998,all
149,529,16.201493361000001,111.578658531000000,-2.525351300000000,86.951625528099996,all
150,532,16.201480584300000,111.578657201000000,-2.347775500000000,86.921126213799994,all
151,533,16.201474191199999,111.578656537000000,-2.437762300000000,86.905769915700006,all
152,537,16.201442237599998,111.578653213000000,-2.329942500000000,86.829628270900002,all
153,538,16.201435846799999,111.578652547999990,-2.301394200000000,86.814485254800005,all
154,544,16.201352740699999,111.578643908000000,-2.782940900000000,86.616346352799994,all
155,546,16.201333585200000,111.578641905000000,-1.915481800000000,86.570704022300006,all
156,547,16.201333571999999,111.578641910000000,-2.475537300000000,86.570704022300006,all
