FID,ID,x,y,z,d,txt
0,6,16.357989145299999,112.083048395000010,-9.204039000000000,99.979007486300006,all
1,64,16.357886604899999,112.083038023000000,-9.110249500000000,99.625221887799995,all
2,69,16.357873797300002,112.083036710000000,-9.434780000000000,99.581075866299997,all
3,75,16.357867429900001,112.083035984000010,-10.864687000000000,99.559157212299993,all
4,78,16.357860999500001,112.083035380000000,-10.082155000000000,99.536929844900001,all
5,116,16.357796941800000,112.083028885999990,-10.540138000000001,99.316199737600002,all
6,123,16.357784091300001,112.083027666000010,-9.216372000000000,99.271745002700001,all
7,129,16.357777763700000,112.083026868000000,-11.971911000000000,99.249826348699997,all
8,138,16.357752171100000,112.083024229000000,-12.976521999999999,99.161534305800004,all
9,149,16.357720126299998,112.083021030000000,-12.408996999999999,99.051014895400002,all
10,156,16.357707346300000,112.083019681000000,-13.462478000000001,99.006868874000006,all
11,180,16.357668871200001,112.083015894000000,-11.871321999999999,98.874430809600000,all
12,181,16.357668902800000,112.083015835000000,-12.962255000000001,98.874430809600000,all
13,189,16.357649645999999,112.083013980999990,-11.451625000000000,98.808057420699996,all
14,199,16.357636888199998,112.083012595000000,-13.188518000000000,98.763911399199998,all
15,211,16.357604817399999,112.083009469000000,-11.343002000000000,98.653391988899998,all
16,213,16.357598472399999,112.083008711000010,-13.389744000000000,98.631473334899994,all
17,243,16.357547179200001,112.083003684000000,-10.913421000000000,98.454580535600002,all
18,247,16.357540751199998,112.083003090000010,-9.959484000000000,98.432661881599998,all
19,251,16.357534379000001,112.083002388000000,-10.994024000000000,98.410434514200006,all
20,265,16.357502365700000,112.082999169000000,-10.847692000000000,98.300223817200006,all
21,269,16.357495996099999,112.082998463000000,-11.946759999999999,98.277996449800000,all
22,306,16.357431953900001,112.082992072000000,-10.743916000000000,98.057266342500000,all
23,310,16.357425528699999,112.082991475000000,-9.844284999999999,98.035038975099994,all
24,321,16.357412722799999,112.082990194000000,-9.641831000000000,97.990892953599996,all
25,331,16.357399966900001,112.082988818999990,-11.152396000000000,97.947055645600003,all
26,332,16.357399924599999,112.082988900999990,-9.658339500000000,97.946746932200000,all
27,343,16.357374301200000,112.082986362000000,-8.803383000000000,97.858454889200004,all
28,353,16.357355119600001,112.082984395000000,-9.305748000000000,97.792390213800005,all
29,382,16.357278344499999,112.082976629000000,-9.347446000000000,97.527514085099995,all
30,396,16.357265564500000,112.082975308000000,-9.827321000000000,97.483368063599997,all
31,412,16.357233528999998,112.082972164000000,-8.083671000000001,97.373157366699999,all
32,414,16.357227133999999,112.082971513000000,-8.143364000000000,97.350929999200005,all
33,415,16.357227132199998,112.082971516000000,-8.078683000000000,97.350929999200005,all
34,428,16.357201552100001,112.082968913000000,-8.272243500000000,97.262637956299997,all
35,454,16.357163169200000,112.082965036000000,-7.977964000000000,97.130199891999993,all
36,456,16.357163184000001,112.082965008000000,-8.486556000000000,97.130508605399996,all
37,488,16.357092780399999,112.082957933000000,-7.993784000000000,96.887551130700004,all
38,489,16.357092752500002,112.082957984999990,-7.030909000000000,96.887551130700004,all
39,498,16.357079997400000,112.082956637000000,-7.606626500000000,96.843405109200006,all
40,512,16.357041662000000,112.082952729000000,-6.812688400000000,96.711275758300005,all
41,515,16.357041665299999,112.082952722000000,-6.927773500000000,96.711275758300005,all
42,526,16.357022505400000,112.082950753000010,-6.783440600000000,96.645211082800003,all
43,530,16.357016134799998,112.082950066000000,-7.286613000000000,96.623292428799999,all
44,531,16.357016115400000,112.082950103000000,-6.615060300000000,96.623292428799999,all
45,551,16.356990563800000,112.082947487000000,-6.214290600000000,96.535000385900005,all
46,561,16.356971441900001,112.082945446000000,-7.341784500000000,96.468935710400004,all
47,563,16.356971428600001,112.082945472000010,-6.881877400000000,96.468935710400004,all
48,571,16.356965064499999,112.082944772999990,-7.593178300000000,96.447017056400000,all
49,577,16.356945928599998,112.082942758000000,-8.221518500000000,96.380952381000000,all
50,586,16.356933100100001,112.082941550000000,-6.176730600000000,96.336806359500002,all
51,607,16.356888460699999,112.082936833000010,-7.882925500000000,96.182758354599997,all
52,621,16.356862894399999,112.082934244000000,-6.902180700000000,96.094466311600002,all
53,624,16.356862927900000,112.082934181000000,-8.056372000000000,96.094775025100006,all
54,625,16.356856462400000,112.082933674000000,-5.225948000000000,96.072547657599998,all
55,640,16.356824612600001,112.082930230000000,-7.768769300000000,95.962645674200004,all
56,651,16.356811776899999,112.082929035000010,-5.436341000000000,95.918190939300004,all
57,673,16.356779900900001,112.082925639000000,-7.062575300000000,95.808288955799995,all
58,691,16.356741530400001,112.082921787000000,-4.898872000000000,95.675850891400003,all
59,692,16.356735138600001,112.082921138000000,-4.661899000000000,95.653932237399999,all
60,712,16.356696848900000,112.082917126000000,-5.429188000000000,95.521802886499998,all
61,718,16.356690451799999,112.082916488000000,-4.988076700000000,95.499884232499994,all
62,730,16.356671304700001,112.082914489999990,-5.210255600000000,95.433819557000007,all
63,745,16.356633020000000,112.082910459999990,-6.280812000000000,95.301690206100005,all
64,750,16.356620220600000,112.082909189000010,-5.308503000000000,95.257544184599993,all
65,765,16.356588299999999,112.082905858000000,-5.706630700000000,95.147333487699996,all
66,798,16.356530760700000,112.082900008000000,-3.757529500000000,94.948830747900004,all
67,800,16.356524363599998,112.082899364000000,-3.430075000000000,94.926912093799999,all
68,808,16.356505215199999,112.082897350000000,-3.953803500000000,94.860847418399999,all
69,815,16.356498842699999,112.082896659000000,-4.489947000000000,94.838928764399995,all
