ID x y
0 0.0 -6.817708129082929
1 0.10000192591641521 -6.81766730293283
2 0.20000385183283043 -6.817626476374496
3 0.30000577774924564 -6.817585649409072
4 0.40000770366566085 -6.817544822033808
5 0.5000096295820761 -6.817503994250871
6 0.6000115554984913 -6.817463166059135
7 0.7000134814149065 -6.817422337460186
8 0.8000154073313217 -6.817381508452348
9 0.9000173332477369 -6.8173406790366435
10 1.0000192591641521 -6.8172998492121755
11 1.1000211850805672 -6.817259018978854
12 1.2000231109969826 -6.8172181883373675
13 1.3000250369133979 -6.817177357288386
14 1.400026962829813 -6.817136525829951
15 1.500028888746228 -6.817095693964461
16 1.6000308146626434 -6.8170548616891145
17 1.7000327405790587 -6.817014029005902
18 1.8000346664954738 -6.816973195915
19 1.900036592411889 -6.8169323624158435
20 2.0000385183283043 -6.816891528508399
21 2.1000404442447196 -6.816850694190903
22 2.2000423701611345 -6.816809859466369
23 2.30004429607755 -6.81676902433672
24 2.400046221993965 -6.8167281887916955
25 2.5000481479103804 -6.816687352844111
26 2.6000500738267958 -6.81664651648452
27 2.7000519997432106 -6.816605679718753
28 2.800053925659626 -6.8165648425445395
29 2.9000558515760413 -6.816524004962813
30 3.000057777492456 -6.816483166970788
31 3.1000597034088715 -6.816442328571355
32 3.200061629325287 -6.8164014897633
33 3.300063555241702 -6.81636065054528
34 3.4000654811581175 -6.816319810919818
35 3.5000674070745323 -6.816278970886825
36 3.6000693329909477 -6.816238130443974
37 3.700071258907363 -6.816197289592888
38 3.800073184823778 -6.816156448336509
39 3.900075110740193 -6.816115606668598
40 4.0000770366566085 -6.816074764593121
41 4.100078962573024 -6.81603392210932
42 4.200080888489439 -6.815993079217212
43 4.3000828144058545 -6.815952235917274
44 4.400084740322269 -6.815911392208219
45 4.500086666238684 -6.815870548087913
46 4.6000885921551 -6.8158297035637965
47 4.700090518071515 -6.81578885862887
48 4.80009244398793 -6.815748013286342
49 4.9000943699043455 -6.815707167534996
50 5.000096295820761 -6.815666321373071
51 5.100098221737176 -6.815625474805201
52 5.2001001476535915 -6.8155846278285654
53 5.300102073570006 -6.815543780441968
