FID,ID,x,y,z,d,txt
60,432,16.170540340399999,111.569320617000000,-1.553847800000000,11.359999999999999,all
61,434,16.170546772300000,111.569319939000000,-1.704253400000000,11.407999999999999,all
62,445,16.170578924800001,111.569316679000000,-1.835534800000000,11.647333333300001,all
63,468,16.170643211400002,111.569310349999990,-1.227014500000000,12.125999999999999,all
64,477,16.170668925200001,111.569307783000000,-1.160018900000000,12.317333333300001,all
65,488,16.170707495100000,111.569303848000000,-1.466720600000000,12.604666666700000,all
66,498,16.170746053100000,111.569300048000000,-1.148367800000000,12.891999999999999,all
67,499,16.170752478299999,111.569299427000000,-1.040280200000000,12.940000000000000,all
68,500,16.170752482200001,111.569299335000000,-1.472640200000000,12.940000000000000,all
69,507,16.170765329000002,111.569298141000000,-1.027936300000000,13.035333333300001,all
70,512,16.170771757099999,111.569297438000010,-1.307452700000000,13.083333333300001,all
71,515,16.170784602200001,111.569296276000000,-0.714855100000000,13.179333333300001,all
72,519,16.170797454999999,111.569294915000000,-1.061888900000000,13.274666666700000,all
73,521,16.170803877099999,111.569294328000000,-0.792213500000000,13.322666666700000,all
74,525,16.170816729300000,111.569292949000000,-1.225423600000000,13.418666666700000,all
75,533,16.170835999299999,111.569291036000000,-1.146372000000000,13.561999999999999,all
76,539,16.170861682200002,111.569288584000010,-0.585330300000000,13.753333333300001,all
77,542,16.170868105200000,111.569287921000000,-0.680985900000000,13.800666666700000,all
78,550,16.170887368900001,111.569286018000000,-0.566561460000000,13.944666666700000,all
79,557,16.170893789699999,111.569285382999990,-0.533301230000000,13.992000000000001,all
80,561,16.170900211999999,111.569284705000000,-0.700439930000000,14.039999999999999,all
81,564,16.170913051599999,111.569283447000000,-0.574292000000000,14.135333333300000,all
82,568,16.170925889599999,111.569282202000000,-0.391848740000000,14.231333333300000,all
83,569,16.170925898000000,111.569282005999990,-1.319636000000000,14.231333333300000,all
84,571,16.170932312500000,111.569281477999990,-0.779169700000000,14.279333333300000,all
85,572,16.170945147400001,111.569280268000000,-0.437927100000000,14.374666666700000,all
86,574,16.170945154599998,111.569280101000000,-1.223946100000000,14.374666666700000,all
87,581,16.170970822699999,111.569277637000000,-0.744578400000000,14.566000000000001,all
88,587,16.170990069599998,111.569275792000000,-0.378965650000000,14.709333333300000,all
89,589,16.170996488699998,111.569275088000000,-0.678468200000000,14.756666666699999,all
90,591,16.170996489800000,111.569275064000000,-0.792432550000000,14.757333333300000,all
91,592,16.170996490899999,111.569275037000000,-0.916803240000000,14.757333333300000,all
92,594,16.171002910300000,111.569274320000010,-1.275177600000000,14.804666666699999,all
93,603,16.171028567000000,111.569271868000000,-0.759947300000000,14.996000000000000,all
94,607,16.171034984799999,111.569271154000010,-1.107898500000000,15.044000000000000,all
95,623,16.171086285200001,111.569266070000000,-0.949966430000000,15.426000000000000,all
96,629,16.171105516800001,111.569264223999990,-0.611594300000000,15.568666666700000,all
97,630,16.171105519000001,111.569264174000000,-0.849925640000000,15.568666666700000,all
98,631,16.171105519699999,111.569264157000010,-0.930152240000000,15.568666666700000,all
99,645,16.171156793200002,111.569259057000000,-0.889121060000000,15.950666666700000,all
100,653,16.171176016000000,111.569257130000000,-0.949777540000000,16.094000000000001,all
101,669,16.171246467300001,111.569250151000010,-0.802266060000000,16.618666666700001,all
102,679,16.171272078699999,111.569247537000000,-1.122617800000000,16.809333333300000,all
103,690,16.171291276800002,111.569245685000000,-0.856602130000000,16.952000000000002,all
104,691,16.171291275800002,111.569245708000000,-0.745268700000000,16.952000000000002,all
105,698,16.171336070199999,111.569241219999990,-0.926648860000000,17.286000000000001,all
106,703,16.171348863700000,111.569239949000010,-0.925793770000000,17.381333333299999,all
107,704,16.171348863500000,111.569239954000000,-0.902041850000000,17.381333333299999,all
108,728,16.171400023099999,111.569234958000000,-0.514006300000000,17.762000000000000,all
109,735,16.171425595199999,111.569232430000000,-0.468690540000000,17.952666666700001,all
110,738,16.171431990700000,111.569231719000000,-0.833799800000000,18.000000000000000,all
