ID x y
0 0.0 -14.054839560541325
1 0.10000696933492632 -14.054832936885598
2 0.20001393866985265 -14.054826313162879
3 0.300020908004779 -14.054819689374495
4 0.4000278773397053 -14.054813065518966
5 0.5000348466746316 -14.054806441598096
6 0.600041816009558 -14.054799817610707
7 0.7000487853444842 -14.054793193556735
8 0.8000557546794106 -14.054786569436983
9 0.900062724014337 -14.054779945251012
10 1.0000696933492632 -14.054773320998562
11 1.1000766626841896 -14.05476669668047
12 1.200083632019116 -14.054760072294172
13 1.3000906013540423 -14.054753447843806
14 1.4000975706889685 -14.054746823325997
15 1.5001045400238948 -14.054740198743186
16 1.6001115093588212 -14.05473357409268
17 1.7001184786937475 -14.054726949376791
18 1.800125448028674 -14.054720324594033
19 1.9001324173636 -14.054713699745603
20 2.0001393866985264 -14.054707074830555
21 2.100146356033453 -14.05470044984967
22 2.200153325368379 -14.054693824801674
23 2.3001602947033053 -14.054687199688225
24 2.400167264038232 -14.054680574508392
25 2.500174233373158 -14.05467394926174
26 2.6001812027080846 -14.054667323949765
27 2.7001881720430108 -14.054660698571368
28 2.800195141377937 -14.054654073126013
29 2.9002021107128635 -14.054647447614366
30 3.0002090800477896 -14.05464082203663
31 3.100216049382716 -14.054634196393677
32 3.2002230187176424 -14.05462757068339
33 3.3002299880525685 -14.054620944906878
34 3.400236957387495 -14.054614319064887
35 3.5002439267224212 -14.054607693155678
36 3.600250896057348 -14.054601067180373
37 3.700257865392274 -14.05459444113941
38 3.8002648347272 -14.054587815032308
39 3.9002718040621267 -14.05458118885795
40 4.000278773397053 -14.054574562617487
41 4.100285742731979 -14.054567936311528
42 4.200292712066906 -14.054561309938684
43 4.300299681401832 -14.054554683499957
44 4.400306650736758 -14.054548056994367
45 4.500313620071685 -14.054541430422974
46 4.600320589406611 -14.054534803785444
47 4.700327558741537 -14.054528177081249
48 4.800334528076464 -14.054521550310625
49 4.9003414974113895 -14.054514923474049
50 5.000348466746316 -14.054508296571393
51 5.100355436081243 -14.054501669602837
52 5.200362405416169 -14.054495042567314
53 5.300369374751095 -14.054488415465215
54 5.4003763440860215 -14.054481788297613
55 5.500383313420948 -14.054475161063207
56 5.600390282755874 -14.054468533762893
57 5.7003972520908 -14.05446190639601
58 5.800404221425727 -14.05445527896364
59 5.900411190760653 -14.054448651463833
60 6.000418160095579 -14.054442023897938
61 6.100425129430506 -14.054435396266124
62 6.200432098765432 -14.054428768568165
63 6.300439068100358 -14.054422140803444
64 6.400446037435285 -14.054415512972408
65 6.500453006770211 -14.054408885075908
66 6.600459976105137 -14.05440225711276
67 6.700466945440064 -14.054395629082927
68 6.80047391477499 -14.054389000987431
69 6.900480884109917 -14.054382372824824
70 7.0004878534448425 -14.054375744596054
71 7.100494822779769 -14.054369116301773
72 7.200501792114696 -14.05436248794085
73 7.300508761449621 -14.05435585951349
74 7.400515730784548 -14.054349231019392
75 7.5005227001194745 -14.054342602459823
76 7.6005296694544 -14.054335973834027
77 7.700536638789327 -14.054329345140793
78 7.800543608124253 -14.054322716382366
79 7.90055057745918 -14.05431608755742
80 8.000557546794106 -14.054309458665735
81 8.100564516129031 -14.054302829708734
82 8.200571485463959 -14.054296200684295
83 8.300578454798885 -14.054289571594378
84 8.400585424133812 -14.054282942437576
85 8.500592393468738 -14.054276313214896
86 8.600599362803663 -14.054269683925884
87 8.700606332138591 -14.054263054570402
88 8.800613301473517 -14.054256425148857
89 8.900620270808442 -14.054249795660475
90 9.00062724014337 -14.05424316610672
91 9.100634209478295 -14.054236536485773
92 9.200641178813221 -14.054229906798858
93 9.300648148148149 -14.054223277045796
94 9.400655117483074 -14.05421664722599
95 9.500662086818 -14.05421001734021
96 9.600669056152928 -14.054203387387991
97 9.700676025487853 -14.05419675736944
98 9.800682994822779 -14.05419012728498
99 9.900689964157706 -14.054183497134064
100 10.000696933492632 -14.054176866916476
101 10.10070390282756 -14.0541702366331
102 10.200710872162485 -14.05416360628362
103 10.300717841497411 -14.05415697586702
104 10.400724810832338 -14.05415034538425
105 10.500731780167264 -14.05414371483492
106 10.60073874950219 -14.054137084220208
107 10.700745718837117 -14.054130453538205
108 10.800752688172043 -14.054123822790018
109 10.900759657506969 -14.054117191976529
110 11.000766626841896 -14.054110561096099
111 11.100773596176822 -14.054103930149621
112 11.200780565511748 -14.054097299136268
113 11.300787534846675 -14.054090668056988
114 11.4007945041816 -14.054084036910693
115 11.500801473516526 -14.054077405699188
116 11.600808442851454 -14.054070774420977
117 11.70081541218638 -14.054064143075937
118 11.800822381521305 -14.05405751166494
119 11.900829350856233 -14.054050880187821
120 12.000836320191159 -14.054044248644525
121 12.100843289526086 -14.05403761703406
122 12.200850258861012 -14.054030985358384
123 12.300857228195937 -14.05402435361484
124 12.400864197530865 -14.054017721806908
125 12.50087116686579 -14.054011089931405
126 12.600878136200716 -14.05400445799015
127 12.700885105535644 -14.053997825981984
128 12.80089207487057 -14.053991193907553
129 12.900899044205495 -14.053984561766788
130 13.000906013540423 -14.053977929560276
131 13.100912982875348 -14.053971297286969
132 13.200919952210274 -14.053964664947648
133 13.300926921545202 -14.053958032541596
134 13.400933890880127 -14.053951400069463
135 13.500940860215053 -14.053944767531267
136 13.60094782954998 -14.053938134926218
137 13.700954798884906 -14.053931502255503
138 13.800961768219834 -14.053924869517546
139 13.90096873755476 -14.05391823671381
140 14.000975706889685 -14.053911603843677
141 14.100982676224612 -14.053904970907285
142 14.200989645559538 -14.053898337904673
143 14.300996614894464 -14.05389170483556
144 14.401003584229391 -14.053885071699652
