FID,ID,x,y,z,d,txt
0,12,16.162043553899998,111.601123177000010,-5.665491000000000,0.255649067896000,all
1,18,16.162062914900002,111.601121410000000,-5.119110600000000,0.384070912751000,all
2,30,16.162108042300002,111.601117110000000,-5.085472600000000,0.684518298620000,all
3,40,16.162133832199999,111.601114704000000,-4.681770300000000,0.856543839634000,all
4,41,16.162133822600001,111.601114659999990,-4.995560000000000,0.856543839634000,all
5,43,16.162140272300000,111.601114073999990,-4.784950700000000,0.899550224888000,all
6,46,16.162146726400000,111.601113508000000,-4.418037400000000,0.942556610141000,all
7,47,16.162146746400001,111.601113604999990,-3.726668400000000,0.942556610141000,all
8,54,16.162159597900001,111.601112216999990,-4.838676500000000,1.028569380650000,all
9,64,16.162198256300002,111.601108607000000,-4.182068000000000,1.286010381260000,all
10,68,16.162217562100000,111.601106716999990,-4.442005600000000,1.415029537020000,all
11,71,16.162223997000002,111.601106091000010,-4.504476000000000,1.458035922280000,all
12,76,16.162230460300002,111.601105597000000,-3.612487300000000,1.501042307530000,all
13,78,16.162243294000000,111.601104189000000,-4.836857000000000,1.586457767130000,all
14,81,16.162249729399999,111.601103574000010,-4.809240300000000,1.629464152390000,all
15,82,16.162249712900000,111.601103499000000,-5.351201500000000,1.629464152390000,all
16,84,16.162256154000001,111.601102913000010,-5.114902500000000,1.672470537640000,all
17,85,16.162256156000002,111.601102922000000,-5.049402700000000,1.672470537640000,all
18,86,16.162256169399999,111.601102983000000,-4.610377300000000,1.672470537640000,all
19,90,16.162268984800001,111.601101512000000,-6.280900500000000,1.757885997240000,all
20,91,16.162269011799999,111.601101636000000,-5.393813600000000,1.757885997240000,all
21,96,16.162281885799999,111.601100443000010,-5.058460700000000,1.843898767750000,all
22,102,16.162288316300000,111.601099826000000,-5.043433700000000,1.886905153000000,all
23,104,16.162294745299999,111.601099195000000,-5.119694000000000,1.929911538250000,all
24,106,16.162301167700001,111.601098541000000,-5.360292400000000,1.972320612600000,all
25,107,16.162301102299999,111.601098242000010,-7.508270700000000,1.972320612600000,all
26,110,16.162314033200001,111.601097337000000,-5.102326400000000,2.058333383110000,all
27,116,16.162333262499999,111.601095239000000,-6.788187500000000,2.186755227960000,all
28,120,16.162352507600001,111.601093234999990,-7.791249300000000,2.315177072820000,all
29,122,16.162358930400000,111.601092608000000,-7.825692700000000,2.358183458070000,all
30,130,16.162384633900000,111.601090187000000,-7.335351000000000,2.529611688180000,all
31,131,16.162384684799999,111.601090420000010,-5.662328200000000,2.529611688180000,all
32,141,16.162410312199999,111.601087707999990,-7.242727000000000,2.700442607380000,all
33,142,16.162410321100001,111.601087749000000,-6.950225000000000,2.701039918290000,all
34,146,16.162416763000000,111.601087237000000,-6.147690300000000,2.743448992640000,all
35,151,16.162429584500000,111.601085940999990,-6.493099000000000,2.829461763140000,all
36,155,16.162448829799999,111.601084075000000,-6.443890000000000,2.957286297090000,all
37,158,16.162455242299998,111.601083442000000,-6.496794000000000,3.000292682340000,all
38,166,16.162480886200001,111.601080940000000,-6.500539000000000,3.171123601550000,all
39,172,16.162506529100000,111.601078482999990,-6.162686000000000,3.342551831650000,all
40,174,16.162506564600001,111.601078645000000,-4.995915000000000,3.342551831650000,all
41,176,16.162512951699998,111.601077931000010,-5.625174500000000,3.384960906000000,all
42,185,16.162538563100000,111.601075396000000,-5.815001000000000,3.556389136110000,all
43,192,16.162544959500000,111.601074741000010,-6.009519600000000,3.598798210460000,all
44,195,16.162551364199999,111.601074127999990,-5.903288000000000,3.641804595710000,all
45,197,16.162557757300000,111.601073469000000,-6.124072600000000,3.684213670060000,all
46,198,16.162557823899999,111.601073774000000,-3.935199700000000,3.684213670060000,all
47,200,16.162557761799999,111.601073490000000,-5.974489000000000,3.684213670060000,all
48,206,16.162583479799999,111.601071539000000,-1.923984000000000,3.855641900170000,all
49,213,16.162608964400000,111.601068576000000,-5.121918000000000,4.025875508460000,all
50,214,16.162615349799999,111.601067908999990,-5.385338300000000,4.068284582810000,all
51,216,16.162615416600001,111.601068219000000,-3.156996000000000,4.068284582810000,all
52,222,16.162640936900001,111.601065494000000,-4.615803000000000,4.239115502010000,all
53,231,16.162660184100002,111.601063978000000,-1.900044900000000,4.366940035960000,all
54,232,16.162660095600000,111.601063569000000,-4.839640000000000,4.366940035960000,all
55,240,16.162685732800000,111.601061482000010,-1.667389500000000,4.537770955160000,all
56,242,16.162692128900002,111.601060907000000,-1.255175700000000,4.580180029510000,all
57,256,16.162724662700001,111.601058077000000,-0.237533060000000,4.797003888490000,all
58,257,16.162730986000000,111.601057376000000,-0.619654830000000,4.839412962840000,all
59,267,16.162787954199999,111.601051496000000,-0.903514740000000,5.219302699250000,all
60,268,16.162794316900001,111.601051005000000,0.237214680000000,5.261711773600000,all
61,270,16.162806953299999,111.601049633000000,-0.271633740000000,5.345932611380000,all
62,274,16.162813308499999,111.601049126000010,0.757336100000000,5.388341685730000,all
63,276,16.162819627200001,111.601048455000000,0.607612500000000,5.430750760080000,all
64,278,16.162819633700000,111.601048485000010,0.819196000000000,5.430750760080000,all
65,280,16.162832271199999,111.601047138000000,0.494227440000000,5.514971597870000,all
66,283,16.162844922600001,111.601045884000000,0.842612270000000,5.599789746560000,all
67,287,16.162851236100000,111.601045199000000,0.601237540000000,5.641601510000000,all
68,289,16.162851247599999,111.601045252000010,0.978417630000000,5.641601510000000,all
69,295,16.162882842399998,111.601041996000010,0.994511600000000,5.852452259930000,all
70,303,16.162895479700001,111.601040702000010,1.068967600000000,5.936673097710000,all
